feature_name,horizon,year,rank_ic_mean,rank_ic_days
tsmom_120,20,2021,-0.04298237181687929,243
tsmom_120,20,2022,0.09348561237528778,242
tsmom_120,20,2023,-0.11176054201638183,242
tsmom_120,20,2024,0.11803705819278677,222
csmom_120,1,2018,-0.004710480287187631,243
csmom_120,1,2019,0.00048360142175124033,244
csmom_120,1,2020,0.03161451647730951,243
csmom_120,1,2021,-0.00791145466860304,243
csmom_120,1,2022,0.01642798625870422,242
csmom_120,1,2023,-0.01819583926001613,242
csmom_120,1,2024,0.02216232189475514,241
csmom_120,5,2018,0.02491256248599799,243
csmom_120,5,2019,0.014663023679417122,244
csmom_120,5,2020,0.0587881629532847,243
csmom_120,5,2021,-0.018175659283062574,243
csmom_120,5,2022,0.028794029309753853,242
csmom_120,5,2023,-0.06264812142049477,242
csmom_120,5,2024,0.03397023415609468,237
csmom_120,20,2018,0.06100446106406089,243
csmom_120,20,2019,0.031116360242985454,244
csmom_120,20,2020,0.06973389336508853,243
csmom_120,20,2021,-0.04139304302448537,243
csmom_120,20,2022,0.10313019976282187,242
csmom_120,20,2023,-0.14574688129142574,242
csmom_120,20,2024,0.11721532433434548,222
trend_efficiency_120,1,2018,-0.01595659258903397,243
trend_efficiency_120,1,2019,0.008873022466962966,244
trend_efficiency_120,1,2020,0.010965332405382184,243
trend_efficiency_120,1,2021,-0.01610463446427552,243
trend_efficiency_120,1,2022,0.002039215126911756,242
trend_efficiency_120,1,2023,0.0019812411714316136,242
trend_efficiency_120,1,2024,-0.011740946042324769,241
trend_efficiency_120,5,2018,-0.05811649429359093,243
trend_efficiency_120,5,2019,0.008336922483332884,244
trend_efficiency_120,5,2020,0.010805330110731174,243
trend_efficiency_120,5,2021,-0.02455860878799947,243
trend_efficiency_120,5,2022,0.00422652481505753,242
trend_efficiency_120,5,2023,-0.0031550207301041565,242
trend_efficiency_120,5,2024,-0.01061000736871254,237
trend_efficiency_120,20,2018,-0.13345507306341703,243
trend_efficiency_120,20,2019,0.02713823611223272,244
trend_efficiency_120,20,2020,-0.021965421112621706,243
trend_efficiency_120,20,2021,0.00583638885455719,243
trend_efficiency_120,20,2022,0.019091395004025197,242
trend_efficiency_120,20,2023,-0.005184824276744592,242
trend_efficiency_120,20,2024,-0.021874154465923095,222
realized_vol_120,1,2018,-0.0049699135904101785,243
realized_vol_120,1,2019,0.00932890714102238,244
realized_vol_120,1,2020,-0.01934021843799877,243
realized_vol_120,1,2021,0.014170198246856629,243
realized_vol_120,1,2022,0.02220009412794789,242
realized_vol_120,1,2023,0.008312948274639919,242
realized_vol_120,1,2024,-0.026449802009713703,241
realized_vol_120,5,2018,0.009089602984877569,243
realized_vol_120,5,2019,0.0008376178811453004,244
realized_vol_120,5,2020,-0.04707686834741587,243
