rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
27,nonlinear_tightness__missing,nonlinear_tightness,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
28,tightness_composite__missing,tightness_composite,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
35,momentum_carry_interaction__missing,momentum_carry_interaction,quality_flag,data_quality,0.0112911610264922,0.5,0.0740555062440493,-0.0062853650409884,-0.1129483846292065,-0.1512656004480368,-0.1129483846292065,-0.6563629880632937,-1.0186393903526856,-1.9243303960761649,6,1,1
37,warehouse_surprise__missing,warehouse_surprise,quality_flag,data_quality,0.0103733068177234,0.5145631067961165,0.0517122029457241,-0.0056392993955219,-0.1000240011251868,-0.1292288901147252,-0.1000240011251868,-0.6363895284507084,-0.9939665466677232,-1.8879090922102597,6,4,2
39,realized_skewness_60__missing,realized_skewness_60,quality_flag,data_quality,0.0063957264138496,0.5166666666666667,0.0397517609383952,-0.0039114470405449,-0.0707318709796728,-0.1393728203248264,-0.0707318709796728,-0.6175708684795059,-0.9821302001460618,-1.8935285293124504,6,1,1
40,trend_efficiency_60__missing,trend_efficiency_60,quality_flag,data_quality,0.0063957264138496,0.5166666666666667,0.0397517609383952,-0.0039114470405449,-0.0707318709796728,-0.1393728203248264,-0.0707318709796728,-0.6175708684795059,-0.9821302001460618,-1.8935285293124504,6,1,1
43,warehouse_tightness__missing,warehouse_tightness,quality_flag,data_quality,0.0022699937405732,0.4928131416837782,0.0109118502673049,-0.0185714127065073,-0.2894622236118112,-0.1563109888001432,-0.2894622236118112,-0.7607961915955205,-1.0750188369179936,-1.860575450224176,6,2,0
52,idiosyncratic_volatility_60__missing,idiosyncratic_volatility_60,quality_flag,data_quality,-0.0050907975312473,0.4915254237288136,-0.0314339579361234,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
56,csmom_60__missing,csmom_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
57,momentum_quality_60__missing,momentum_quality_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
58,sector_relative_value_60__missing,sector_relative_value_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
