rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
35,momentum_carry_interaction__missing,momentum_carry_interaction,quality_flag,data_quality,0.0112911610264922,0.5,0.0740555062440493,-0.0062853650409884,-0.1129483846292065,-0.1512656004480368,-0.1129483846292065,-0.6563629880632937,-1.0186393903526856,-1.9243303960761649,6,1,1
63,momentum_quality_60__csz,momentum_quality_60,predictor,trend_momentum,-0.006991504295523,0.4944827586206896,-0.0261834275035621,-0.0127172149611678,-0.1236291262158522,-0.2047269598091512,-0.1236291262158522,-0.4176042448391569,-0.6135876572546934,-1.1035461882935345,6,2,3
42,fundamental_composite_news__csz,fundamental_composite_news,predictor,information_news,0.0043288703079753,0.5095846645367412,0.0216621057564757,-0.0081104634341683,-0.1389159800476928,-0.1122770285926361,-0.1389159800476928,-0.6568665596588051,-1.0021669460662137,-1.8654179120847345,6,3,2
86,multi_horizon_trend__missing,multi_horizon_trend,quality_flag,data_quality,-0.0594540130442625,0.3666666666666666,-0.3765093544971773,-0.0080094485255386,-0.1393945822705667,-0.1602332011341301,-0.1393945822705667,-0.6656845202633271,-1.016544478925168,-1.893694375579769,6,0,1
85,value_252__missing,value_252,quality_flag,data_quality,-0.05815514947669,0.365079365079365,-0.3695902893953618,-0.0081810988026198,-0.1423994018340965,-0.1610689472980565,-0.1423994018340965,-0.6687538702685958,-1.0196568492249287,-1.896914296615761,6,0,1
62,tsmom_60__csz,tsmom_60,predictor,trend_momentum,-0.0068028192858416,0.4917241379310345,-0.0254036320367946,-0.019247227789227,-0.1889089876837137,-0.2150371892987073,-0.1889089876837137,-0.4857105764690317,-0.6835783023259105,-1.178247616968107,6,2,3
72,low_volatility_20__csz,low_volatility_20,risk,volatility_risk,-0.012672587585022,0.4875862068965517,-0.0401898648379597,-0.027786946490121,-0.2148691549355147,-0.2856039393542509,-0.2148691549355147,-0.4487071280125509,-0.6045991100639084,-0.994329065192302,6,1,1
61,momentum_carry_interaction__csz,momentum_carry_interaction,predictor,factor_interaction,-0.0064718313607187,0.4786206896551724,-0.0297628920171982,-0.0189993282423509,-0.2479894504811135,-0.1448299013809713,-0.2479894504811135,-0.6426981942267267,-0.9058373567238024,-1.563685262966491,6,3,3
67,csmom_60__csz,csmom_60,predictor,trend_momentum,-0.0086730388948848,0.4972413793103448,-0.0300258746745117,-0.0289253813298974,-0.2480851486728999,-0.283011657250568,-0.2480851486728999,-0.5074454250442364,-0.6803522759584612,-1.112619403244022,6,2,3
64,seasonality_3y__missing,seasonality_3y,quality_flag,data_quality,-0.0079918191832497,0.4822695035460992,-0.0380021747522264,-0.0165508482172378,-0.2703367124810928,-0.1820843090994673,-0.2703367124810928,-0.7642680251321213,-1.0935555668994736,-1.9167744213178548,6,4,2
65,volume_price_divergence_20__csz,volume_price_divergence_20,predictor,trading_liquidity,-0.0085650430448296,0.48,-0.0336232974534038,-0.0270779631836922,-0.2769501733893796,-0.3003200941721812,-0.2769501733893796,-0.5862412816784509,-0.792435353871165,-1.3079205343529503,6,2,3
43,warehouse_tightness__missing,warehouse_tightness,quality_flag,data_quality,0.0022699937405732,0.4928131416837782,0.0109118502673049,-0.0185714127065073,-0.2894622236118112,-0.1563109888001432,-0.2894622236118112,-0.7607961915955205,-1.0750188369179936,-1.860575450224176,6,2,0
73,inventory_surprise__missing,inventory_surprise,quality_flag,data_quality,-0.0132977561145248,0.4542483660130719,-0.0559190837681333,-0.0164129895766253,-0.3005831751937159,-0.1564677192981736,-0.3005831751937159,-0.8543905833701672,-1.2235955221544683,-2.146607869115221,6,3,1
53,basis_momentum_20__csz,basis_momentum_20,predictor,basis_spot,-0.0056556152560231,0.4841402337228714,-0.0238950447311777,-0.0242877685541853,-0.331835098467547,-0.2210087572135911,-0.331835098467547,-0.7449934071557865,-1.0204322796146128,-1.7090294607616787,6,2,1
51,trend_efficiency_60__csz,trend_efficiency_60,predictor,trend_momentum,-0.0049974029308336,0.4903448275862069,-0.0205138892280223,-0.0314776958427341,-0.3564153512717561,-0.179612431819456,-0.3564153512717561,-0.6988165319777997,-0.9270839857818288,-1.497752620291901,6,2,3
54,inventory_scarcity__csz,inventory_scarcity,predictor,inventory_fundamental,-0.0057653796982428,0.4868421052631579,-0.032787904680977,-0.0213539866529079,-0.383897046691471,-0.2128390115662776,-0.383897046691471,-0.9275447917540616,-1.2899766217957886,-2.1960561969001064,6,3,2
77,inventory_change_5__missing,inventory_change_5,quality_flag,data_quality,-0.0182806135059399,0.4570637119113573,-0.0765702051947495,-0.027297064928499,-0.424680606930573,-0.1848692918855258,-0.424680606930573,-0.895146629091537,-1.2087906438655134,-1.9929006808004532,6,3,2
78,inventory_price_divergence__missing,inventory_price_divergence,quality_flag,data_quality,-0.0182806135059399,0.4570637119113573,-0.0765702051947495,-0.027297064928499,-0.424680606930573,-0.1848692918855258,-0.424680606930573,-0.895146629091537,-1.2087906438655134,-1.9929006808004532,6,3,2
79,inventory_acceleration__missing,inventory_acceleration,quality_flag,data_quality,-0.0186701701978109,0.4566273421235253,-0.0782482911218022,-0.0277320854683411,-0.4319635710893033,-0.1848692918855253,-0.4319635710893033,-0.9029911973618652,-1.2170096148769065,-2.002055658664509,6,2,2
49,inventory_surprise__csz,inventory_surprise,predictor,information_news,-0.0007314131087266,0.4869281045751634,-0.0039825018879609,-0.0228556343946552,-0.4380149333776573,-0.1540921376593352,-0.4380149333776573,-1.017546936586362,-1.4039016053921651,-2.3697882774066734,6,2,0
82,correlation_risk_20_120__csz,correlation_risk_20_120,risk,volatility_risk,-0.0308564046828037,0.4406896551724138,-0.1255536330131759,-0.0413502386995982,-0.4558856760158281,-0.3117974899154072,-0.4558856760158281,-0.7892811599662655,-1.0115448159332234,-1.567203955850619,6,0,1
46,turnover_oi__csz,turnover_oi,conditional,trading_liquidity,0.0004650387372539,0.506896551724138,0.0019149236705513,-0.03537203389821,-0.4572894501907799,-0.264368180109835,-0.4572894501907799,-0.8482319957498844,-1.1088603594559543,-1.7604312687211288,6,3,1
76,inventory_scarcity__missing,inventory_scarcity,quality_flag,data_quality,-0.0165420690631338,0.4626038781163435,-0.0713697839695583,-0.0276855088050705,-0.4822931139225623,-0.1777043795393708,-0.4822931139225623,-1.0090865302078056,-1.3602821410646349,-2.238271168206707,6,3,2
70,oi_growth_20__csz,oi_growth_20,conditional,trading_liquidity,-0.0104654829761688,0.463448275862069,-0.0487531386119133,-0.041156532757322,-0.4993712608353055,-0.3216043184475404,-0.4993712608353055,-0.8662871771177109,-1.1108977879726476,-1.7224243151099894,6,1,1
68,carry_change_20__csz,carry_change_20,predictor,term_structure,-0.00904875764513,0.476551724137931,-0.0418580174963897,-0.0432979110968534,-0.506706470601833,-0.3019281262549939,-0.506706470601833,-0.86059891674603,-1.0965272141754947,-1.686347957749156,6,2,0
