trade_date,factor_id,gross_return,turnover,long_count,short_count,net_return_0bps,net_return_3bps,net_return_5bps,net_return_10bps
2020-05-08,basis_momentum_20,0.0017752393022784417,1.4000000000000001,5,5,0.0017752393022784417,0.0013552393022784417,0.0010752393022784416,0.0003752393022784415
2020-05-15,basis_momentum_20,-0.0052822514980414795,1.0,5,5,-0.0052822514980414795,-0.0055822514980414795,-0.00578225149804148,-0.0062822514980414796
2020-05-22,basis_momentum_20,-0.002748884922429929,0.8,5,5,-0.002748884922429929,-0.002988884922429929,-0.003148884922429929,-0.003548884922429929
2020-05-29,basis_momentum_20,-0.0012343563467997478,1.0,5,5,-0.0012343563467997478,-0.0015343563467997477,-0.0017343563467997478,-0.0022343563467997476
2020-06-05,basis_momentum_20,0.01235186461577207,1.0,5,5,0.01235186461577207,0.01205186461577207,0.011851864615772069,0.011351864615772068
2020-06-12,basis_momentum_20,0.012899304758950014,1.2000000000000002,5,5,0.012899304758950014,0.012539304758950015,0.012299304758950014,0.011699304758950015
2020-06-19,basis_momentum_20,0.0010608553489034,1.4000000000000001,5,5,0.0010608553489034,0.0006408553489034,0.00036085534890339986,-0.00033914465109660024
2020-06-30,basis_momentum_20,-0.007236421363422674,1.2000000000000002,5,5,-0.007236421363422674,-0.007596421363422674,-0.007836421363422674,-0.008436421363422673
2020-07-07,basis_momentum_20,-0.006454611139176569,1.2000000000000002,5,5,-0.006454611139176569,-0.0068146111391765695,-0.007054611139176569,-0.00765461113917657
2020-07-14,basis_momentum_20,-0.008938163287957367,1.2000000000000002,5,5,-0.008938163287957367,-0.009298163287957368,-0.009538163287957367,-0.010138163287957367
2020-07-21,basis_momentum_20,-0.005591007019280071,1.0,5,5,-0.005591007019280071,-0.005891007019280071,-0.006091007019280071,-0.006591007019280071
2020-07-28,basis_momentum_20,0.01323705931293534,1.0,5,5,0.01323705931293534,0.01293705931293534,0.01273705931293534,0.012237059312935339
2020-08-04,basis_momentum_20,0.0019901867932593524,1.2000000000000002,5,5,0.0019901867932593524,0.0016301867932593524,0.0013901867932593524,0.0007901867932593523
2020-08-11,basis_momentum_20,0.003123769658024467,1.2000000000000002,5,5,0.003123769658024467,0.002763769658024467,0.002523769658024467,0.001923769658024467
2020-08-18,basis_momentum_20,0.0058651365191075494,1.2000000000000002,5,5,0.0058651365191075494,0.005505136519107549,0.00526513651910755,0.004665136519107549
2020-08-25,basis_momentum_20,0.007253222731147846,1.2000000000000002,5,5,0.007253222731147846,0.006893222731147846,0.0066532227311478466,0.006053222731147846
2020-09-01,basis_momentum_20,0.00027899362512104917,0.8,5,5,0.00027899362512104917,3.8993625121049133e-05,-0.00012100637487895085,-0.0005210063748789509
2020-09-08,basis_momentum_20,-0.018401097081043184,0.8,5,5,-0.018401097081043184,-0.018641097081043185,-0.018801097081043185,-0.019201097081043183
2020-09-15,basis_momentum_20,-0.017457387315885434,0.6000000000000001,5,5,-0.017457387315885434,-0.017637387315885433,-0.017757387315885435,-0.018057387315885434
