factor_id,horizon_days,ic_mean,rank_ic,date_count
term_structure_slope,1,0.01578638830259959,0.016852159127561103,1454
term_structure_slope,5,0.025509975582534334,0.02307609956791987,1450
term_structure_slope,20,0.06037859163343296,0.048968255586484655,1435
term_structure_slope,5d_signal_delayed_1d,,0.021141178909578374,1449
term_structure_momentum,1,0.014877731971049316,0.012012809741043837,1454
term_structure_momentum,5,0.01624043563411667,0.01358054611748939,1450
term_structure_momentum,20,0.009544814407196154,0.011323108887663627,1435
term_structure_momentum,5d_signal_delayed_1d,,0.009547563884854629,1449
term_structure_acceleration,1,0.015352395968485996,0.015992894264914344,1454
term_structure_acceleration,5,0.013042087426883757,0.014538551935566907,1450
term_structure_acceleration,20,0.001250684185364659,0.0031478394147155197,1435
term_structure_acceleration,5d_signal_delayed_1d,,0.010074809208221812,1449
basis_surprise,1,0.002980682102706899,0.01170066724903267,1205
basis_surprise,5,0.007489433598406128,0.007695401378615299,1205
basis_surprise,20,-0.007235308833592744,-0.0002619994114839375,1205
basis_surprise,5d_signal_delayed_1d,,0.007774580510992463,1205
inventory_acceleration,1,0.0043264312198279045,0.011324704387168255,1445
inventory_acceleration,5,0.019244297135943236,0.029112735075328643,1441
inventory_acceleration,20,0.007883000466452647,0.02427637318471252,1139
inventory_acceleration,5d_signal_delayed_1d,,0.022033019723999903,1440
inventory_price_divergence,1,0.006793806210111911,0.013256884922154087,1448
inventory_price_divergence,5,0.02120736895091987,0.03389741775232661,1444
inventory_price_divergence,20,0.0038802172096608425,-0.004741718407415962,1142
inventory_price_divergence,5d_signal_delayed_1d,,0.025885240549140515,1443
supply_demand_shock,1,,,0
supply_demand_shock,5,,,0
supply_demand_shock,20,,,0
supply_demand_shock,5d_signal_delayed_1d,,,0
crowding,1,,,0
crowding,5,,,0
crowding,20,,,0
crowding,5d_signal_delayed_1d,,,0
oi_surprise_60,1,-0.002022380010897134,-0.0034975762524122813,1454
oi_surprise_60,5,0.0006869953252617012,0.0006460407385080882,1450
oi_surprise_60,20,0.0035123826779306228,0.004757099141878969,1435
oi_surprise_60,5d_signal_delayed_1d,,0.00395604198508941,1449
volume_price_divergence_20,1,-0.003262025244016743,-0.00015377946967269496,1454
volume_price_divergence_20,5,-0.016292993396130617,-0.008560994737483361,1450
volume_price_divergence_20,20,0.004497204134210815,0.008222433348291166,1435
volume_price_divergence_20,5d_signal_delayed_1d,,-0.007231795030370718,1449
momentum_carry_interaction,1,0.004391182740399404,0.004209660073336068,1454
momentum_carry_interaction,5,0.018160584714196636,0.010120290777640026,1450
momentum_carry_interaction,20,0.009548244675970973,0.018450160056481837,1435
momentum_carry_interaction,5d_signal_delayed_1d,,0.009756252963078731,1449
nonlinear_tightness,1,0.0009806960269749929,0.010828897806448478,1384
nonlinear_tightness,5,0.0026362560281593173,0.01863344863400154,1381
nonlinear_tightness,20,0.03980705911829695,0.06000545090808357,1289
nonlinear_tightness,5d_signal_delayed_1d,,0.017485219751016964,1379
commodity_network_factor,1,,,0
commodity_network_factor,5,,,0
commodity_network_factor,20,,,0
commodity_network_factor,5d_signal_delayed_1d,,,0
correlation_risk_20_120,1,-0.01563735922561693,-0.016372167418278176,1454
correlation_risk_20_120,5,-0.0288214469710484,-0.03074519370902559,1450
