factor_id,year,ic_mean,rank_ic,observations
idiosyncratic_volatility_60,2019,0.045466181964715184,0.05171581550934359,244
idiosyncratic_volatility_60,2020,0.03944932799824873,0.0308225163171756,243
idiosyncratic_volatility_60,2021,0.012751164464380706,0.04214921281533841,243
idiosyncratic_volatility_60,2022,0.028281358024140044,0.0215828732810824,242
idiosyncratic_volatility_60,2023,0.0051297191669503845,-0.023929750588576645,242
idiosyncratic_volatility_60,2024,-0.032845406141089016,-0.03386574497853797,236
term_structure_slope,2019,0.04164167097426509,0.03234825806222524,244
term_structure_slope,2020,0.09136167734833342,0.09136187498120682,243
term_structure_slope,2021,-0.022043276450842187,-0.005898044835008293,243
term_structure_slope,2022,0.040169566919097344,0.026149416642095878,242
term_structure_slope,2023,0.011763595472833796,-0.01886451887785005,242
term_structure_slope,2024,-0.01094618576264236,0.01892463723962398,236
term_structure_momentum,2019,0.03479073621147345,0.026886404468325183,244
term_structure_momentum,2020,0.014332275761591821,0.022072024338891667,243
term_structure_momentum,2021,-0.001303892312000018,0.015543776789358664,243
term_structure_momentum,2022,-0.02643939313117184,-0.02267321589405731,242
term_structure_momentum,2023,0.05144097211355103,0.023606305908879865,242
term_structure_momentum,2024,0.02476022348255541,0.016741822523131472,236
term_structure_acceleration,2019,0.03170081304450137,0.051914957303192705,244
term_structure_acceleration,2020,0.0021473809246844297,0.009399249602340632,243
term_structure_acceleration,2021,0.015949954901765737,0.021022003812290104,243
term_structure_acceleration,2022,-0.03283654947906362,-0.02439881452643639,242
term_structure_acceleration,2023,0.03789214310227587,0.015585927321404703,242
term_structure_acceleration,2024,0.023537805607959143,0.011185341686063222,236
basis_surprise,2019,-0.04048528573412623,-0.0378027988791817,242
basis_surprise,2020,0.05221095686697831,0.04858154559272607,241
basis_surprise,2021,0.0058037425488551946,0.0031955221537660864,241
basis_surprise,2022,0.05309640182381222,0.04106609212770005,240
basis_surprise,2023,-0.0323308174842765,-0.015510076909692956,240
basis_surprise,2024,-0.14307616696652145,-0.03785103785103785,1
inventory_acceleration,2019,0.05133979649898147,0.06552819052104752,244
inventory_acceleration,2020,0.035815823126783296,0.04164050805725891,240
inventory_acceleration,2021,0.011393992884038874,-0.010575994814848128,243
inventory_acceleration,2022,0.0026136382651066187,0.04718271722854621,242
inventory_acceleration,2023,-0.012878631059193762,0.00253025007105554,239
inventory_acceleration,2024,0.026974576690492667,0.043211950379293214,233
inventory_price_divergence,2019,-0.0022138197371471477,-0.02712369597615499,244
inventory_price_divergence,2020,0.07395558596344189,0.11847457422240881,241
inventory_price_divergence,2021,0.02308517177094977,0.01259508666916074,243
inventory_price_divergence,2022,0.03217997392974143,0.022545704983721514,242
inventory_price_divergence,2023,-0.02205427673315602,0.028787878787878793,240
inventory_price_divergence,2024,0.02237646388214496,0.03459595959595959,234
oi_surprise_60,2019,-0.020878008575124615,-0.020673901254506726,244
oi_surprise_60,2020,0.012860837381795782,0.00849846725370191,243
oi_surprise_60,2021,0.0059007895324480015,-0.003734521352002558,243
oi_surprise_60,2022,0.002899278018074714,0.007282727463702224,242
oi_surprise_60,2023,-0.0026371069656888203,0.004653169569549494,242
oi_surprise_60,2024,0.0062197312674629026,0.00813156759893612,236
volume_price_divergence_20,2019,0.007652995289981889,0.0013826996456853093,244
volume_price_divergence_20,2020,-0.0016659222188413038,0.0160217756534369,243
volume_price_divergence_20,2021,-0.021372472847079948,-0.016584890908669485,243
volume_price_divergence_20,2022,-0.05328183202294111,-0.04066508925456295,242
volume_price_divergence_20,2023,-0.005584722512376952,-0.003910124682087937,242
volume_price_divergence_20,2024,-0.023932775748216707,-0.007816662224975308,236
momentum_carry_interaction,2019,0.03515416062650854,0.0013300053456755186,244
momentum_carry_interaction,2020,-0.008401883598719573,-0.0021584530411927014,243
momentum_carry_interaction,2021,0.04303457223508817,0.04989683158264092,243
momentum_carry_interaction,2022,0.03730981923387915,0.02720483454119597,242
momentum_carry_interaction,2023,0.013207701992312536,0.010105706737746653,242
momentum_carry_interaction,2024,-0.012227757765503892,-0.02668160375305098,236
nonlinear_tightness,2019,-0.019465463959983713,0.0067692969177049365,240
nonlinear_tightness,2020,0.054100567394831094,0.08177275667806468,238
nonlinear_tightness,2021,0.0059141379413219525,0.02556764757518028,240
nonlinear_tightness,2022,0.037679567364201506,0.03443821190673174,239
nonlinear_tightness,2023,0.00717312390884073,-0.011146630717729328,239
nonlinear_tightness,2024,-0.090285083431676,-0.03974023284368113,185
correlation_risk_20_120,2019,-0.026653512569641043,-0.03906143477590009,244
correlation_risk_20_120,2020,-0.016546069986062138,-0.017041697714453796,243
correlation_risk_20_120,2021,-0.015739210943064942,-0.018159170897002835,243
correlation_risk_20_120,2022,-0.033963031338745134,-0.03738677671984037,242
correlation_risk_20_120,2023,-0.054095067797912205,-0.05083984662187461,242
correlation_risk_20_120,2024,-0.025984143153300034,-0.021722795934657216,236
