feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,fold_id,test_year,selected,selection_reason,max_abs_corr_vs_selected,min_train_rank_ic,max_pairwise_corr,prior_universe_size,selected_universe_size
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.021962515249482173,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.017361937496909705,fold_2022,2022,True,selected,0.3494753478219554,0.01,0.7,36,12
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.027850815018842692,fold_2022,2022,True,selected,0.33307907500612305,0.01,0.7,36,12
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.016222750777366037,fold_2022,2022,True,selected,0.5673008862246823,0.01,0.7,36,12
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.022977298446000737,fold_2022,2022,True,selected,0.22960535862077652,0.01,0.7,36,12
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.005514898458997827,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.008008235785534982,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.016526754940474436,fold_2022,2022,True,selected,0.1801846963727225,0.01,0.7,36,12
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.010197119780902217,fold_2022,2022,True,selected,0.3213180534114548,0.01,0.7,36,12
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,1,train_rank_ic,0.0011349212439643493,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.035848692629145806,fold_2022,2022,False,dropped_high_corr,0.7237237672346364,0.01,0.7,36,12
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.01854257490184449,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.02059105976795663,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.004928534196691509,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.008068202778321229,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.02252073049214836,fold_2023,2023,False,dropped_high_corr,0.7351141780348535,0.01,0.7,36,13
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.004718607659466008,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.031113882563732872,fold_2023,2023,True,selected,0.5983449482332824,0.01,0.7,36,13
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.005932868360511249,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.015886410809832847,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.005529864798536678,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
value_252__csz,value_252,predictor,1,1,catalog,0.021715634582644822,fold_2023,2023,True,selected,0.4076606348366062,0.01,0.7,36,13
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.010802322989191147,fold_2023,2023,True,selected,0.3029771711683899,0.01,0.7,36,13
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.008666549975275524,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.01075339342989825,fold_2023,2023,True,selected,0.6911421366127349,0.01,0.7,36,13
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.009627397971984024,fold_2023,2023,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.03387733027082501,fold_2023,2023,False,dropped_high_corr,0.7167408932220632,0.01,0.7,36,13
