rank,feature_name,source_factor,usage_type,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,net_10bps_annual_return,net_10bps_sharpe,strategy_days,strategy_coverage,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
22,idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60,risk,0.015057300651098495,0.5337931034482759,0.057174755926592394,0.019234056043085455,0.09986235917601555,0.19260566445445043,-0.1947844089871762,0.0864168375743195,0.5085324232081911,0.019234056043085455,0.19260566445445043,-0.011005943956914559,-0.11021113508359727,-0.031165943956914566,-0.31208900144229573,-0.08156594395691455,-0.8167836673390415,293,0.20206896551724138,6,4,3
23,curve_curvature__missing,curve_curvature,quality_flag,0.014535259632342284,0.5206611570247934,0.062331637598929526,-0.000655401354857029,0.055014450826098134,-0.011913258153367138,-0.14863267606705266,-0.012502639832752682,0.4778156996587031,-0.000655401354857029,-0.011913258153367138,-0.030895401354857025,-0.5615870174278039,-0.05105540135485705,-0.9280361902774287,-0.10145540135485703,-1.84415912240149,293,0.20206896551724138,6,2,2
24,realized_skewness_60__csz,realized_skewness_60,risk,0.01439088020871298,0.5413793103448276,0.06385815850776119,0.011903944186116905,0.07963782979336956,0.14947599924562482,-0.14851922604929169,0.05213316761110165,0.5051194539249146,0.011903944186116905,0.14947599924562482,-0.018336055813883072,-0.2302430372783675,-0.038496055813883094,-0.4833890616276962,-0.08889605581388309,-1.1162541225010172,293,0.20206896551724138,6,4,2
25,information_consistency__missing,information_consistency,quality_flag,0.013588715271614503,0.520586182833217,0.0603950854550321,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.1415721110662278,-0.019600323034611056,-0.26080294717749064,-0.039760323034611064,-0.5290529860066362,-0.09016032303461105,-1.1996780830794997,293,0.20206896551724138,6,4,4
26,information_divergence__missing,information_divergence,quality_flag,0.013588715271614503,0.520586182833217,0.0603950854550321,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.1415721110662278,-0.019600323034611056,-0.26080294717749064,-0.039760323034611064,-0.5290529860066362,-0.09016032303461105,-1.1996780830794997,293,0.20206896551724138,6,4,4
27,nonlinear_tightness__missing,nonlinear_tightness,quality_flag,0.013588715271614503,0.520586182833217,0.0603950854550321,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.1415721110662278,-0.019600323034611056,-0.26080294717749064,-0.039760323034611064,-0.5290529860066362,-0.09016032303461105,-1.1996780830794997,293,0.20206896551724138,6,4,4
28,tightness_composite__missing,tightness_composite,quality_flag,0.013588715271614503,0.520586182833217,0.0603950854550321,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.1415721110662278,-0.019600323034611056,-0.26080294717749064,-0.039760323034611064,-0.5290529860066362,-0.09016032303461105,-1.1996780830794997,293,0.20206896551724138,6,4,4
29,inventory_change_5__csz,inventory_change_5,predictor,0.013036180251881729,0.5277008310249307,0.07076634335983915,0.021955064846447638,0.05828825950894827,0.37666358596755073,-0.10095780101877416,0.12497708230529092,0.5460750853242321,0.021955064846447638,0.37666358596755073,-0.008284935153552362,-0.14213728842393175,-0.02844493515355238,-0.48800453801825366,-0.07884493515355236,-1.3526726620040577,293,0.20206896551724138,6,4,4
30,term_structure_momentum__csz,term_structure_momentum,predictor,0.012759894667376023,0.54,0.05383860377104476,0.0010504144338997798,0.08851680165647992,0.011866836738817976,-0.21649718166818976,-0.01652680827980557,0.5085324232081911,0.0010504144338997798,0.011866836738817976,-0.029189585566100223,-0.329763220313591,-0.04934958556610023,-0.5575165916818638,-0.09974958556610022,-1.1269000201025454,293,0.20206896551724138,6,5,3
31,fundamental_underreaction__csz,fundamental_underreaction,predictor,0.012744039616757956,0.5175718849840255,0.0555408264918961,-0.008056293926372464,0.07290757518263882,-0.11050009421093566,-0.1559822666770645,-0.060417720714062706,0.49146757679180886,-0.008056293926372464,-0.11050009421093566,-0.03829629392637245,-0.5252718092795904,-0.05845629392637247,-0.8017862859920272,-0.10885629392637246,-1.4930724777731184,293,0.20206896551724138,6,4,2
32,realized_volatility_20__csz,realized_volatility_20,risk,0.012671911377152869,0.5124137931034483,0.0401876945110926,0.02778694649012104,0.12932031355761736,0.2148691549355148,-0.1936237217367942,0.11967880536816411,0.49146757679180886,0.02778694649012104,0.2148691549355148,-0.0024530535098789795,-0.01896881814152149,-0.022613053509878984,-0.17486080019287897,-0.07301305350987898,-0.5645907553212726,293,0.20206896551724138,6,5,5
33,value_252__csz,value_252,predictor,0.01255774811942226,0.5075862068965518,0.04552544709826191,-0.002209473252828847,0.10130696904108331,-0.02180968667548264,-0.14709144362904625,-0.04154172895580599,0.4641638225255973,-0.002209473252828847,-0.02180968667548264,-0.03244947325282885,-0.32030840089263274,-0.05260947325282886,-0.5193075437040663,-0.10300947325282886,-1.0168054007326497,293,0.20206896551724138,6,4,2
34,amihud_20__csz,amihud_20,risk,0.011363766214067384,0.5275862068965518,0.053234022330711186,0.021558925054866295,0.08747901937115837,0.24644680758703413,-0.24403318415937625,0.10855617035876342,0.5460750853242321,0.021558925054866295,0.24644680758703413,-0.008681074945133697,-0.09923607977704225,-0.02884107494513372,-0.32969133801976014,-0.07924107494513372,-0.9058294836265542,293,0.20206896551724138,6,4,3
35,momentum_carry_interaction__missing,momentum_carry_interaction,quality_flag,0.011291161026492252,0.5,0.0740555062440493,-0.006285365040988437,0.05564811804633056,-0.11294838462920659,-0.15126560044803683,-0.044493288565111144,0.4948805460750853,-0.006285365040988437,-0.11294838462920659,-0.036525365040988425,-0.6563629880632937,-0.056685365040988436,-1.0186393903526856,-0.10708536504098844,-1.9243303960761646,293,0.20206896551724138,6,1,1
36,sector_relative_value_60__csz,sector_relative_value_60,predictor,0.010889529743189578,0.5241379310344828,0.04365997767016582,0.02978451756653174,0.0938973409588942,0.3172029927830505,-0.12025371666121143,0.1587771665601463,0.5426621160409556,0.02978451756653174,0.3172029927830505,-0.00045548243346825874,-0.004850855506841851,-0.02061548243346827,-0.2195534210334369,-0.07101548243346827,-0.756309834849924,293,0.20206896551724138,6,5,4
37,warehouse_surprise__missing,warehouse_surprise,quality_flag,0.010373306817723436,0.5145631067961165,0.05171220294572414,-0.005639299395521992,0.05637946224990567,-0.10002400112518682,-0.12922889011472527,-0.0411290494690526,0.4880546075085324,-0.005639299395521992,-0.10002400112518682,-0.03587929939552198,-0.6363895284507084,-0.056039299395522,-0.9939665466677232,-0.10643929939552199,-1.8879090922102595,293,0.20206896551724138,6,4,2
38,basis_surprise__csz,basis_surprise,predictor,0.007375048874329378,0.5095435684647303,0.03394720991760279,-0.003879973507376289,0.06984209308252023,-0.055553511301443974,-0.1883053482794762,-0.03600088836660886,0.46757679180887374,-0.003879973507376289,-0.055553511301443974,-0.0341199735073763,-0.4885302258490831,-0.054279973507376296,-0.7771813688808425,-0.10467997350737629,-1.4988092264602408,293,0.20206896551724138,6,3,2
39,realized_skewness_60__missing,realized_skewness_60,quality_flag,0.0063957264138496716,0.5166666666666667,0.03975176093839526,-0.0039114470405449825,0.05529964054915309,-0.07073187097967289,-0.13937282032482645,-0.03110437534167243,0.4948805460750853,-0.0039114470405449825,-0.07073187097967289,-0.03415144704054497,-0.6175708684795059,-0.05431144704054499,-0.9821302001460618,-0.10471144704054498,-1.8935285293124504,293,0.20206896551724138,6,1,1
40,trend_efficiency_60__missing,trend_efficiency_60,quality_flag,0.0063957264138496716,0.5166666666666667,0.03975176093839526,-0.0039114470405449825,0.05529964054915309,-0.07073187097967289,-0.13937282032482645,-0.03110437534167243,0.4948805460750853,-0.0039114470405449825,-0.07073187097967289,-0.03415144704054497,-0.6175708684795059,-0.05431144704054499,-0.9821302001460618,-0.10471144704054498,-1.8935285293124504,293,0.20206896551724138,6,1,1
