feature_name,fold_id,test_year,rank_ic_mean,rank_ic_hit_rate,gross_sharpe,net_5bps_sharpe,gross_annual_return,strategy_days,applied_direction,direction_source
basis_shock_20__csz,fold_2023,2023,-0.00680097445823007,0.5,-1.2726268777951388,-2.1871953580506753,-0.0701318665858174,49,1,catalog
basis_shock_20__csz,fold_2024,2024,0.10295106606062096,0.75,-0.4309728465260036,-1.466419523102871,-0.02097745055952005,48,1,catalog
basis_shock_20__missing,fold_2019,2019,0.04894158594187382,0.5541666666666667,0.9054215946378394,0.19596027250360154,0.06432098120933616,49,1,catalog
basis_shock_20__missing,fold_2020,2020,-0.009299076988540772,0.46443514644351463,-0.29577312855345106,-0.8277756061913416,-0.028020481681366182,49,1,catalog
basis_shock_20__missing,fold_2021,2021,0.01090113725994297,0.502092050209205,0.8553998507812097,0.32605269799916686,0.08144400560726975,49,1,catalog
basis_shock_20__missing,fold_2022,2022,0.02933802574944283,0.48739495798319327,0.6683861749448675,0.18358209631937888,0.06948510687601764,49,1,catalog
basis_shock_20__missing,fold_2023,2023,0.0755951612113009,0.5882352941176471,0.7130974346370196,-0.10732775988311496,0.043806688221864155,49,1,catalog
basis_shock_20__missing,fold_2024,2024,0.05134855883366221,0.5,-0.37502507057624385,-1.4102657957389058,-0.01825784389816469,48,1,catalog
basis_surprise__csz,fold_2019,2019,-0.035527859841202464,0.4297520661157025,-2.4803458398848957,-3.741952076779431,-0.09908751770117401,49,1,catalog
basis_surprise__csz,fold_2020,2020,0.04317836477171185,0.5892116182572614,0.07240409119453324,-0.5657092241395132,0.005718680536064621,49,1,catalog
basis_surprise__csz,fold_2021,2021,0.0028153216139764426,0.5062240663900415,-0.7723939042075068,-1.335211629973519,-0.06916742488711647,49,1,catalog
basis_surprise__csz,fold_2022,2022,0.03813269726244977,0.55,2.055653638636979,1.469504568883784,0.17675528075294544,49,1,catalog
basis_surprise__csz,fold_2023,2023,-0.011408600134478383,0.475,-0.2905956713501701,-1.1866098388401498,-0.016345748055610246,49,1,catalog
basis_surprise__csz,fold_2024,2024,-0.01358575452611764,0.0,-0.4418373692436703,-1.4769619810241208,-0.021512968734825274,48,1,catalog
basis_surprise__missing,fold_2019,2019,0.05078195796997518,0.5578512396694215,0.9317075037318513,0.22266538627467372,0.066227459599283,49,1,catalog
basis_surprise__missing,fold_2020,2020,-0.0045926791744313016,0.46887966804979253,-0.41280943961506084,-0.9729950142822898,-0.03714054180877179,49,1,catalog
basis_surprise__missing,fold_2021,2021,0.010118513826301082,0.4979253112033195,0.8553998507812097,0.32605269799916686,0.08144400560726975,49,1,catalog
basis_surprise__missing,fold_2022,2022,0.02946662572714811,0.49583333333333335,0.5876359632566791,0.10646839812335947,0.061552055238657956,49,1,catalog
basis_surprise__missing,fold_2023,2023,0.07358701851050643,0.5875,0.7221546179472199,-0.09908269071444188,0.044319214873291594,49,1,catalog
basis_surprise__missing,fold_2024,2024,0.3016727831477656,1.0,-0.37502507057624385,-1.4102657957389058,-0.01825784389816469,48,1,catalog
carry_annualized__csz,fold_2019,2019,0.01485856752938398,0.5040983606557377,0.9027583243021877,0.2299281826020284,0.06762333719155302,49,1,catalog
carry_annualized__csz,fold_2020,2020,0.08900957052765673,0.6625514403292181,1.0781314326330962,0.5876047482483864,0.11077445108387222,49,1,catalog
carry_annualized__csz,fold_2021,2021,0.009515205905260239,0.5308641975308642,-1.4087425265338547,-1.8857793926109987,-0.1488367637519747,49,1,catalog
carry_annualized__csz,fold_2022,2022,0.0022493794051491223,0.5330578512396694,0.33326844487448165,-0.1773359872386918,0.03289577717169316,49,1,catalog
carry_annualized__csz,fold_2023,2023,-0.014192191319527387,0.45867768595041325,-0.40501707818852106,-0.9941424367423503,-0.03464943486868478,49,1,catalog
carry_annualized__csz,fold_2024,2024,0.07422833162658121,0.5932203389830508,1.697893471990037,1.0263979290145842,0.12743767532560688,48,1,catalog
carry_annualized__missing,fold_2019,2019,-0.0204701009251971,0.4375,-0.5825694619474663,-1.6063671451361012,-0.028679006960345352,49,1,catalog
carry_annualized__missing,fold_2020,2020,,,-0.559844200785543,-1.3344799000352305,-0.03642505470238662,49,1,catalog
carry_annualized__missing,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,1,catalog
carry_annualized__missing,fold_2022,2022,,,-0.23159866448807973,-1.1205232092888318,-0.013131117549257876,49,1,catalog
carry_annualized__missing,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,1,catalog
carry_annualized__missing,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,1,catalog
