rank,feature_name,source_factor,source_factor_id,usage_type,category,catalog_direction,direction_source_modes,applied_direction_modes,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
11,basis_fresh__csz,basis_fresh,7,predictor,basis_spot,1,catalog,1,0.027504624739921654,0.028522075259036057,0.5571192052980133,0.12925912957741112,1208,43234,1450,293,-0.78320821914205,0.6479012719291681,0.20206896551724138,0.03697827388545423,0.0797838283931106,0.46348081597758145,-0.14873202174640388,0.21701383955033227,0.5255972696245734,0.03697827388545423,0.0797838283931106,0.46348081597758145,-0.14873202174640388,0.21701383955033227,0.5255972696245734,0.006738273885454234,0.0797838283931106,0.08445663765661174,-0.1802799521928059,0.020868912906901738,0.5051194539249146,-0.013421726114545778,0.0797838283931106,-0.16822614789070156,-0.21720547089441622,-0.09205228922681719,0.49146757679180886,-0.06382172611454578,0.0797838283931106,-0.7999331117589846,-0.354459835997076,-0.32282830890107306,0.45051194539249145,6,5,4
12,warehouse_tightness__csz,warehouse_tightness,16,predictor,inventory_fundamental,1,catalog,1,0.02326750230654351,0.02300171022550479,0.5402379286214136,0.11267873825302563,1429,43234,1450,293,-0.9391911919799694,0.6784844061344039,0.20206896551724138,0.0538490231751872,0.06477162468440065,0.8313674921320291,-0.05656705496700121,0.350879624963083,0.5494880546075085,0.0538490231751872,0.06477162468440065,0.8313674921320291,-0.05656705496700121,0.350879624963083,0.5494880546075085,0.0236090231751872,0.06477162468440065,0.36449638696299536,-0.11269874105685285,0.133235010329531,0.5119453924914675,0.0034490231751871914,0.06477162468440065,0.053248983516972694,-0.15230090887244085,0.00792939029752282,0.49829351535836175,-0.0469509768248128,0.06477162468440065,-0.7248695250980836,-0.278046214175633,-0.24817579439889326,0.46075085324232085,6,5,5
13,information_divergence__csz,information_divergence,36,predictor,information_news,0,train_rank_ic,1,0.01968037425118655,0.02273542119134124,0.5387299371946964,0.10596712878656207,1433,43234,1450,293,-0.8723464553837135,0.6647627914730595,0.20206896551724138,0.021334256484151937,0.0750345514698775,0.284325768145846,-0.1249419770829383,0.11372257502150873,0.515358361774744,0.021334256484151937,0.0750345514698775,0.284325768145846,-0.1249419770829383,0.11372257502150873,0.515358361774744,-0.00890574351584805,0.0750345514698775,-0.11868856868456458,-0.18323559780532694,-0.06582343520911416,0.4778156996587031,-0.029065743515848053,0.0750345514698775,-0.38736479323817175,-0.25031592918552525,-0.16918409638395726,0.47440273037542663,-0.07946574351584805,0.0750345514698775,-1.0590553546221897,-0.42148272733352665,-0.38040894125119107,0.4197952218430034,6,5,3
14,inventory_price_divergence__csz,inventory_price_divergence,49,predictor,information_news,1,catalog,1,0.01664302624498259,0.021434069763360892,0.5457063711911357,0.11558397395545011,1444,43234,1450,293,-0.667143911543608,0.6361897312720818,0.20206896551724138,0.018264574046312713,0.05828868805062726,0.3133468029070894,-0.10478148975182944,0.10111546382961567,0.5426621160409556,0.018264574046312713,0.05828868805062726,0.3133468029070894,-0.10478148975182944,0.10111546382961567,0.5426621160409556,-0.011975425953687282,0.05828868805062726,-0.20545025723148716,-0.18606270603999564,-0.07640085541490071,0.5255972696245734,-0.0321354259536873,0.05828868805062726,-0.5513149639905386,-0.25847884004117194,-0.17859281262859872,0.4948805460750853,-0.08253542595368729,0.05828868805062726,-1.4159767308881663,-0.4262969485145177,-0.3874286246153338,0.4539249146757679,6,5,3
15,term_structure_slope__csz,term_structure_slope,44,predictor,term_structure,1,catalog,1,0.019525599241090333,0.02037209253028122,0.5462068965517242,0.07698023720515047,1450,43234,1450,293,-0.9540225281798094,0.668121687888865,0.20206896551724138,0.01091600809634811,0.10183782352174331,0.10719011580228285,-0.23206588785966664,0.03369286720016107,0.5051194539249146,0.01091600809634811,0.10183782352174331,0.10719011580228285,-0.23206588785966664,0.03369286720016107,0.5051194539249146,-0.01932399190365188,0.10183782352174331,-0.18975260110037637,-0.3128857062596454,-0.1329976246687692,0.49146757679180886,-0.0394839919036519,0.10183782352174331,-0.3877144123688161,-0.3620065892374169,-0.2289533568770219,0.4880546075085324,-0.08988399190365189,0.10183782352174331,-0.8826189405399149,-0.4854346718561432,-0.42503388089142535,0.46757679180887374,6,4,3
16,nonlinear_tightness__csz,nonlinear_tightness,55,predictor,factor_interaction,1,catalog,1,0.01962063673361442,0.019708918424492128,0.5240753663642708,0.09217210547566058,1433,43234,1450,293,-0.8778921511933622,0.6656656219325446,0.20206896551724138,0.03940137929166865,0.07311765326410895,0.5388764208466398,-0.1107782101880107,0.23795092956340236,0.5290102389078498,0.03940137929166865,0.07311765326410895,0.5388764208466398,-0.1107782101880107,0.23795092956340236,0.5290102389078498,0.009161379291668657,0.07311765326410895,0.12529640767567793,-0.12513441948902215,0.038444101254012875,0.4778156996587031,-0.010998620708331353,0.07311765326410895,-0.15042360110496347,-0.1407536699916806,-0.07641371696493904,0.46757679180887374,-0.061398620708331346,0.07311765326410895,-0.8397236230565664,-0.34236634780248887,-0.3111507758603307,0.4300341296928328,6,4,4
17,tightness_composite__csz,tightness_composite,17,predictor,inventory_fundamental,1,catalog,1,0.019261042517512195,0.019373073794236473,0.5247732030704815,0.09063754303261787,1433,43234,1450,293,-0.8791903580119789,0.6657620156894195,0.20206896551724138,0.038287505792531075,0.07314123622951496,0.5234735939161057,-0.1107782101880107,0.22995429243956322,0.5255972696245734,0.038287505792531075,0.07314123622951496,0.5234735939161057,-0.1107782101880107,0.22995429243956322,0.5255972696245734,0.008047505792531084,0.07314123622951497,0.1100269315557951,-0.12513441948902215,0.03173217623217406,0.47440273037542663,-0.012112494207468929,0.07314123622951496,-0.16560417668441224,-0.14630957853110116,-0.08238564927072645,0.4641638225255973,-0.06251249420746892,0.07314123622951496,-0.8546819472849301,-0.34662287396498137,-0.31560934444903577,0.42662116040955633,6,4,4
18,information_consistency__csz,information_consistency,35,predictor,information_news,1,catalog,1,0.017892327777108023,0.01896047186285729,0.5366364270760642,0.08835765420681296,1433,43234,1450,293,-0.8784140093035717,0.667272824386957,0.20206896551724138,0.023535927002418577,0.07318868264325769,0.32157877628620996,-0.10287100188757958,0.1288690458018662,0.5494880546075085,0.023535927002418577,0.07318868264325769,0.32157877628620996,-0.10287100188757958,0.1288690458018662,0.5494880546075085,-0.006704072997581426,0.07318868264325769,-0.09159985882324145,-0.17204497028403554,-0.05311072718248233,0.5017064846416383,-0.02686407299758144,0.07318868264325769,-0.36705228222954256,-0.23363153033433293,-0.15787319754488172,0.47440273037542663,-0.07726407299758144,0.07318868264325769,-1.0556833407452948,-0.4045415728814581,-0.3719647935052829,0.43686006825938567,6,4,5
19,short_reversal_5__csz,short_reversal_5,12,predictor,value_reversion,1,catalog,1,0.015550888318548579,0.018175684807703246,0.5262068965517241,0.06619445004365174,1450,43234,1450,293,-0.9637661080531148,0.6694468064333097,0.20206896551724138,0.046888404437051966,0.10710351727114698,0.43778585084510024,-0.20263629647950876,0.27074728476800725,0.5426621160409556,0.046888404437051966,0.10710351727114698,0.43778585084510024,-0.20263629647950876,0.27074728476800725,0.5426621160409556,0.016648404437051956,0.10710351727114698,0.15544218211717808,-0.2279086671409215,0.06596087680235163,0.5255972696245734,-0.003511595562948057,0.10710351727114698,-0.03278693036810341,-0.26741148828848504,-0.051936990110251324,0.5187713310580204,-0.05391159556294805,0.10710351727114698,-0.5033597115813068,-0.40588206888029865,-0.29288856096946103,0.46757679180887374,6,5,4
20,inventory_acceleration__csz,inventory_acceleration,48,predictor,inventory_fundamental,1,catalog,1,0.01788543428207949,0.017769149150579602,0.5440666204024983,0.09851052624830596,1441,43234,1450,293,-0.5823112787085076,0.622423342466053,0.20206896551724138,0.012899896910849546,0.06603797987084054,0.19534057425862558,-0.15015042163938042,0.06427623142716055,0.5494880546075085,0.012899896910849546,0.06603797987084054,0.19534057425862558,-0.15015042163938042,0.06427623142716055,0.5494880546075085,-0.017340103089150447,0.06603797987084054,-0.2625777336475896,-0.21448976808140863,-0.10732084555700938,0.5085324232081911,-0.03750010308915047,0.06603797987084054,-0.5678566055850667,-0.2738532597106721,-0.2061033979652186,0.49829351535836175,-0.08790010308915046,0.06603797987084054,-1.3310537854287587,-0.43096188490102827,-0.40796681349403086,0.41638225255972694,6,5,4
